Channel Number;Channel Name;Channel Type;Rx Frequency;Tx Frequency;Bandwidth (kHz);Colour Code;Timeslot;Contact;TG List;DMR ID;TS1_TA_Tx;TS2_TA_Tx ID;RX Tone;TX Tone;Squelch;Power;Rx Only;Zone Skip;All Skip;TOT;VOX;No Beep;No Eco;APRS;Latitude;Longitude
200;ATV Talkback.750;Analogue;144.7500;144.7500;12.5;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
201;Sthlm Skärgård;Analogue;145.2250;145.2250;12.5;;;;;;;;;91.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
202;Rix DMR Anrop 2m;Digital;145.3750;145.3750;;0;1;None;;None;Off;Off;;;;Master;No;No;No;0;Off;No;No;None;;
203;Simplex 145.400;Analogue;145.4000;145.4000;12.5;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
204;Simplex 145.425;Analogue;145.4250;145.4250;12.5;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
205;Sthlm Anrop 2m;Analogue;145.4500;145.4500;12.5;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
206;Simplex 145.475;Analogue;145.4750;145.4750;12.5;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
207;Rix Anrop 2m;Analogue;145.5000;145.5000;12.5;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
208;Rix DMR Anrop 70;Digital;433.45000;433.45000;;0;1;None;;None;Off;Off;;;;Master;No;No;No;0;Off;No;No;None;;
209;Simplex 433.475;Analogue;433.4750;433.4750;12.5;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
210;Rix FM Anrop 70;Analogue;433.5000;433.5000;12.5;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
300;UHF SRBR Kanal 1;Analogue;444.6000;444.6000;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
301;UHF SRBR Kanal 2;Analogue;444.6500;444.6500;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
302;UHF SRBR Kanal 3;Analogue;444.8000;444.8000;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
303;UHF SRBR Kanal 4;Analogue;444.8250;444.8250;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
304;UHF SRBR Kanal 5;Analogue;444.8500;444.8500;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
305;UHF SRBR Kanal 6;Analogue;444.8750;444.8750;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
306;UHF SRBR Kanal 7;Analogue;444.9250;444.9250;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
307;UHF SRBR Kanal 8;Analogue;444.9750;444.9750;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
310;VHF Jakt Kanal 1;Analogue;155.4250;155.4250;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
311;VHF Jakt Kanal 2;Analogue;155.4750;155.4750;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
312;VHF Jakt Kanal 3;Analogue;155.5000;155.5000;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
313;VHF Jakt Kanal 4;Analogue;155.5250;155.5250;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
314;VHF Jakt Kanal 5;Analogue;156.0000;156.0000;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
315;VHF Jakt Kanal 6;Analogue;155.4000;155.4000;25;;;;;;;;;88.5;Disabled;Master;No;No;No;0;Off;No;No;None;;
501;SL0ZS Västberga;Analogue;145.6000;145.0000;25;;;;;;;;123.0;123.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,298;17,99
502;SK0RDZ Brottby 2;Analogue;145.6500;145.0500;25;;;;;;;;77.0;77.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,5753;18,2634
503;SM0MMO Tullinge;Analogue;145.6625;145.0625;25;;;;;;;;77.0;77.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,2255;17,9413
504;SK0PQ Kista 2m;Analogue;145.6750;145.0750;25;;;;;;;;123.0;123.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,4;17,95
505;SK0QO Haninge 2m;Analogue;145.6875;145.0875;25;;;;;;;;77.0;77.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,1704;18,1663
506;SK0MG Södertälje;Analogue;145.7000;145.1000;25;;;;;;;;77.0;77.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,1744;17,5997
507;SK0BJ Nynäshamn;Analogue;145.7125;145.1125;25;;;;;;;;123.0;123.0;Disabled;Master;No;No;No;0;Off;No;No;None;58,9055;17,9402
508;SK0NN Stockholm;Analogue;145.7250;145.1250;25;;;;;;;;77.0;77.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,32;18,07
509;SK0BJ NynäshamnA;Analogue;145.7375;145.1375;25;;;;;;;;123.0;123.0;Disabled;Master;No;No;No;0;Off;No;No;None;58,8278;17,8498
510;SM0OFV Solna 2m;Analogue;145.7625;145.1625;25;;;;;;;;123.0;123.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,354;17,97
511;SK0MM Ingarö 2m;Analogue;145.7750;145.1750;25;;;;;;;;77.0;77.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,2602;18,5297
512;SK0CT Kista 2m;Analogue;145.7875;145.1875;25;;;;;;;;77.0;77.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,4;17,95
513;SK0NN Haninge;Analogue;434.5375;432.5375;25;;;;;;;;;;Disabled;Master;No;No;No;0;Off;No;No;None;59,2404;18,2061
514;SK0QO Bagarmosse;Analogue;434.5750;432.5750;25;;;;;;;;;;Disabled;Master;No;No;No;0;Off;No;No;None;59,2787;18,1257
515;SK0BJ Huddinge 7;Analogue;434.6000;432.6000;25;;;;;;;;123.0;123.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,2134;17,9423
516;SK0CT Kista 70cm;Analogue;434.6250;432.6250;25;;;;;;;;77.0;77.0;Disabled;Master;No;No;No;0;Off;No;No;None;59,4;17,95
